Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
Peter Unger,Germany,Europe,1945,"Retail, Restaurant",Non-Traded Sectors,Auto-Teile-Unger,self-made,founder non-finance,male,Unknown,new
Peter Woo,Hong Kong,East Asia,1946,Real Estate,Financial,Worldwide Shipping Group,inherited,inherited,male,inherited from father,new
Petr Kellner,Czech Republic,Europe,1965,Money Management,Financial,PPF (Prvn? privatizacn? fond),self-made,self-made finance,male,Unknown,new
Petro Poroshenko,Ukraine,Europe,1966,Consumer,Traded Sectors,Roshen Gropu,self-made,privatized and resources,male,Unknown,privatization
Petter Stordalen,Norway,Europe,1963,Real Estate,Financial,Home Invest,self-made,self-made finance,male,Unknown,new
Pham Nhat Vuong,Vietnam,East Asia,1969,Real Estate,Financial,Vingroup,self-made,self-made finance,male,Unknown,new
Phil Knight,United States,North America,1938,Consumer,Traded Sectors,Nike,self-made,founder non-finance,male,Unknown,new
Philip & Cristina Green,United Kingdom,Europe,1953,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Philip and Cristina Green,United Kingdom,Europe,1952,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Philip Anschutz,United States,North America,1940,Money Management,Financial,Circle A Drilling,self-made,self-made finance,male,Unknown,aquired
Philip Falcone,United States,North America,1963,Hedge funds,Financial,Harbinger Capital,self-made,self-made finance,male,Unknown,new
Philip Green,United Kingdom,Europe,1952,"Retail, Restaurant",Non-Traded Sectors,Arcadia,self-made,executive,male,Unknown,aquired
Philip Knight,United States,North America,1938,Consumer,Traded Sectors,Nike,self-made,founder non-finance,male,Unknown,new
Philip Niarchos,Greece,Europe,1954,Other,other,Niarchos Ltd,inherited,inherited,male,inherited from father,new
Philippe Foriel-Destezet,France,Europe,1936,Other,other,Adecco,self-made,executive,male,Unknown,aquired
Phillip Frost,United States,North America,1937,Technology-Medical,New Sectors,Opko Health,self-made,executive,male,Unknown,aquired
Phillip Ragon,United States,North America,1950,Technology-Medical,New Sectors,InterSystems,self-made,founder non-finance,male,Unknown,new
Phillip Ruffin,United States,North America,1936,Real Estate,Financial, New Frontier Hotel and Casino,self-made,self-made finance,male,Unknown,aquired
Phoebe Hearst Cooke,United States,North America,1927,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,female,Unknown,Unknown
Phyllis Taylor,United States,North America,1942,Energy,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Pier Luigi Loro Piana,Italy,Europe,1952,Consumer,Traded Sectors,Loro Piana,inherited,inherited,male,Third generation,new
Pierce Marshall,United States,North America,1939,Energy,Resource Related,Standard Oil,inherited,inherited,male,inherited from father,new
Piero Solari Donaggio,Chile,Latin America,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Pierre Bellon,France,Europe,1930,"Retail, Restaurant",Non-Traded Sectors,Sodexo,self-made,founder non-finance,male,Unknown,new
Pierre Landolt,Switzerland,Europe,1948,Technology-Medical,New Sectors,AxialPar,self-made,founder non-finance,male,Unknown,new
Pierre Omidyar,United States,North America,1968,Technology-Computer,New Sectors,Ebay,self-made,founder non-finance,male,Unknown,new
Pierre Papillaud,France,Europe,1936,Mining and metals,Resource Related,Roxane,self-made,privatized and resources,male,Unknown,new
Pincus Green,Switzerland,Europe,1936,Energy,Resource Related,Glencore,self-made,privatized and resources,male,Unknown,new
Platon Lebedev,Russia,Europe,1957,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
PNC Menon,Oman,Middle East/North Africa,1949,Real Estate,Financial,Sobha Developers,self-made,self-made finance,male,Unknown,new
Pollyanna Chu,Hong Kong,East Asia,1958,Money Management,Financial,Kingston Financial,self-made,self-made finance,female,Unknown,new
Polys Haji-Ioannou,Cyprus,Europe,1959,"Retail, Restaurant",Non-Traded Sectors,EasyJet,self-made,executive,male,Unknown,new
Pradeep Jain,India,South Asia,1966,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Prasert Prasarttong-Osoth,Thailand,East Asia,1934,Real Estate,Financial,Bangkok Dusit Medical Services,self-made,self-made finance,male,Unknown,new
Preston Tisch,United States,North America,1927,Consumer,Traded Sectors,Loews Corporation,self-made,founder non-finance,male,Unknown,new
Prince Alwaleed Bin Talal Alsaud,Saudi Arabia,Middle East/North Africa,1957,Money Management,Financial,Kingdom Holding Company,self-made,privatized and resources,male,Unknown,new
Prince Sultan bin Mohammed bin Saud Al Kabeer,Saudi Arabia,Middle East/North Africa,1954,Consumer,Traded Sectors,Almarai,self-made,privatized and resources,male,Unknown,new
Putera Sampoerna,Indonesia,East Asia,Unknown,Consumer,Traded Sectors,Sampoerna,inherited,inherited,male,inherited from father,new
Pyotr Aven,Russia,Europe,1955,Energy,Resource Related,Alfa Group,self-made,privatized and resources,male,Unknown,new
Pyotr Kondrashev,Russia,Europe,1950,Consumer,Traded Sectors,Silvinit,self-made,privatized and resources,male,Unknown,privatization
Qi Jinxing,China,East Asia,1962,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
